Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households,Built up area,Nearby Sectors
RG15 0,51.3809,-1.42703,439973,164806,SU399648,269,0,,,Kintbury,"RG17 9, RG20 0, RG14 6, RG20 9, RG15 9, RG17 0, RG14 7, RG17 1, RG14 9, RG14 1"
RG15 8,51.3466,-1.25428,452034,161099,SU520610,276,0,,,Kingsclere,"RG20 5, RG19 8, RG20 4, RG13 4, RG18 3, RG19 3, RG19 4, RG13 3, RG19 6, RG18 4"
RG15 9,51.3456,-1.35541,444991,160921,SU449609,272,0,,,Woolton Hill and Highclere,"RG20 9, RG14 6, RG20 0, RG20 4, RG14 7, RG14 9, RG14 1, RG13 1, RG14 5, RG15 8"
RG16 0,51.5009,-1.28768,449541,178236,SU495782,257,0,,,Compton (West Berkshire),"RG20 6, RG20 7, RG16 9, RG18 9, OX11 0, RG18 0, RG13 2, RG13 3, RG14 3, RG14 2"
RG16 7,51.4943,-1.50993,434119,177376,SU341773,292,0,,,Lambourn,"RG17 8, RG17 7, RG17 0, RG17 1, OX12 9, RG17 9, OX12 2, SN8 2, RG20 7, RG16 8"
RG16 8,51.4482,-1.36177,444449,172328,SU444723,250,0,,,Chieveley,"RG20 8, RG14 3, RG13 1, RG14 1, RG14 6, RG20 7, RG14 2, RG14 5, RG13 2, RG16 9"
RG16 9,51.4401,-1.27679,450364,171482,SU503714,280,0,,,Cold Ash,"RG18 9, RG13 3, RG18 3, RG13 4, RG13 2, RG14 3, RG14 2, RG19 3, RG18 4, RG16 0"
RG17 0,51.4143,-1.50746,434350,168479,SU343684,369,249,6398,2847,Hungerford,"RG17 1, RG17 9, RG17 7, RG16 7, RG17 8, RG15 0, RG20 0, SP11 0, SN8 2, RG16 8"
RG17 1,51.4158,-1.51465,433849,168643,SU338686,70,7,,,Hungerford,"RG17 0, RG17 9, RG16 7, RG17 7, RG17 8, RG15 0, RG20 0, SN8 2, SN8 3, SP11 0"
RG17 7,51.4774,-1.48991,435522,175506,SU355755,208,166,2569,1095,Great Shefford,"RG16 7, RG17 8, RG17 0, RG17 1, RG17 9, OX12 9, RG16 8, RG15 0, RG20 8, OX12 2"
RG17 8,51.5034,-1.52768,432880,178379,SU328783,135,106,3026,1331,Lambourn,"RG16 7, RG17 7, RG17 1, RG17 0, OX12 9, SN7 8, SN8 2, RG17 9, OX12 2, SN7 7"
RG17 9,51.3918,-1.45847,437776,166001,SU377660,156,132,3210,1323,Kintbury,"RG15 0, RG17 0, RG17 1, RG20 0, RG17 7, RG14 6, RG14 7, RG14 1, RG13 1, RG14 9"
RG18 0,51.4727,-1.21431,454667,175152,SU546751,87,70,1208,474,Hampstead Norreys,"RG20 6, RG18 9, RG7 6, RG18 4, RG19 6, RG19 4, RG16 9, RG19 3, RG18 3, RG16 0"
